CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;1024;random;0;0;0;0;0;1;0;0;1;3370;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;655360000;0;26364000;14094067;0;0;0;0;0;0;12269933;14094067;4835;19165;7166;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-MIN;associative;1;1024;random;0;0;0;0;0;1;0;0;1;3370;1;1.79769e+308;1.79769e+308;1.79769e+308;655360000;0;26364000;14094067;0;0;0;0;0;0;12269933;14094067;4835;19165;7166;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-AVG;associative;1;1024;random;0;0;0;0;0;1;0;0;1;3370;1;-nan;-nan;-nan;6.5536e+08;0;2.6364e+07;1.40941e+07;0;0;0;0;0;0;1.22699e+07;1.40941e+07;4835;19165;7166;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-MEDIAN;associative;1;1024;random;0;0;0;0;0;1;0;0;1;3370;1;-nan;-nan;-nan;655360000;0;26364000;14094067;0;0;0;0;0;0;12269933;14094067;4835;19165;7166;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-VAR;associative;1;1024;random;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1080;1;0.103;0.612;0.051;131072;10141;28671;22553;0;0;0;0;0;0;7141;7195;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1080;1;0.103;0.612;0.051;131072;10141;28671;22553;0;0;0;0;0;0;7141;7195;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1080;1;0.103;0.612;0.051;131072;10141;28671;22553;0;0;0;0;0;0;7141;7195;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1080;1;0.103;0.612;0.051;131072;10141;28671;22553;0;0;0;0;0;0;7141;7195;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.557;0.005;524288;12190778;8468496;6404102;0;0;0;0;0;0;2065417;14474231;83;1936;1936;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.557;0.005;524288;12190778;8468496;6404102;0;0;0;0;0;0;2065417;14474231;83;1936;1936;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.557;0.005;524288;1.21908e+07;8.4685e+06;6.4041e+06;0;0;0;0;0;0;2.06542e+06;1.44742e+07;83;1936;1936;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.557;0.005;524288;12190778;8468496;6404102;0;0;0;0;0;0;2065417;14474231;83;1936;1936;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfiling-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.578;0.005;524288;107910466;15409019;1647866;0;0;0;0;0;0;13762176;97689984;12221;1384;1384;0;0;0;0;0;0;0;0
FilledCacheProfiling-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.578;0.005;524288;107910466;15409019;1647866;0;0;0;0;0;0;13762176;97689984;12221;1384;1384;0;0;0;0;0;0;0;0
FilledCacheProfiling-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.578;0.005;524288;1.0791e+08;1.5409e+07;1.64787e+06;0;0;0;0;0;0;1.37622e+07;9.769e+07;12221;1384;1384;0;0;0;0;0;0;0;0
FilledCacheProfiling-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.578;0.005;524288;107910466;15409019;1647866;0;0;0;0;0;0;13762176;97689984;12221;1384;1384;0;0;0;0;0;0;0;0
FilledCacheProfiling-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingSingleHold-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.002;0.581;0.006;524288;0;42121406;27391229;0;0;0;0;0;0;14731200;103233600;21631;21569;7170;0;0;0;0;0;0;14400;0
FilledCacheProfilingSingleHold-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.002;0.581;0.006;524288;0;42121406;27391229;0;0;0;0;0;0;14731200;103233600;21631;21569;7170;0;0;0;0;0;0;14400;0
FilledCacheProfilingSingleHold-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.002;0.581;0.006;524288;0;4.21214e+07;2.73912e+07;0;0;0;0;0;0;1.47312e+07;1.03234e+08;21631;21569;7170;0;0;0;0;0;0;14400;0
FilledCacheProfilingSingleHold-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.002;0.581;0.006;524288;0;42121406;27391229;0;0;0;0;0;0;14731200;103233600;21631;21569;7170;0;0;0;0;0;0;14400;0
FilledCacheProfilingSingleHold-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingGroupElim-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.575;0.007;524288;0;2636309;336082;0;0;0;0;0;0;2301250;16138942;2142;2360;110;0;0;0;0;0;0;2251;0
FilledCacheProfilingGroupElim-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.575;0.007;524288;0;2636309;336082;0;0;0;0;0;0;2301250;16138942;2142;2360;110;0;0;0;0;0;0;2251;0
FilledCacheProfilingGroupElim-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.575;0.007;524288;0;2.63631e+06;336082;0;0;0;0;0;0;2.30125e+06;1.61389e+07;2142;2360;110;0;0;0;0;0;0;2251;0
FilledCacheProfilingGroupElim-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.575;0.007;524288;0;2636309;336082;0;0;0;0;0;0;2301250;16138942;2142;2360;110;0;0;0;0;0;0;2251;0
FilledCacheProfilingGroupElim-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
