CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;1024;tree-plru;0;0;0;0;0;1;0;0;1;1024;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;655360000;0;512000;1523;0;0;0;0;0;0;510477;1523;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MIN;associative;1;1024;tree-plru;0;0;0;0;0;1;0;0;1;1024;1;1.79769e+308;1.79769e+308;1.79769e+308;655360000;0;512000;1523;0;0;0;0;0;0;510477;1523;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-AVG;associative;1;1024;tree-plru;0;0;0;0;0;1;0;0;1;1024;1;-nan;-nan;-nan;6.5536e+08;0;512000;1523;0;0;0;0;0;0;510477;1523;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MEDIAN;associative;1;1024;tree-plru;0;0;0;0;0;1;0;0;1;1024;1;-nan;-nan;-nan;655360000;0;512000;1523;0;0;0;0;0;0;510477;1523;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-VAR;associative;1;1024;tree-plru;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;131072;1024;5120;5120;0;0;0;0;0;0;1024;1024;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;131072;1024;5120;5120;0;0;0;0;0;0;1024;1024;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;131072;1024;5120;5120;0;0;0;0;0;0;1024;1024;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;131072;1024;5120;5120;0;0;0;0;0;0;1024;1024;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;524288;3086;5078;5078;0;0;0;0;0;0;1024;7168;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;524288;3086;5078;5078;0;0;0;0;0;0;1024;7168;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;524288;3086;5078;5078;0;0;0;0;0;0;1024;7168;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;524288;3086;5078;5078;0;0;0;0;0;0;1024;7168;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfiling-MAX;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;524288;150840492;54634816;2840515;0;0;0;0;0;0;51795324;367635076;25304;25896;25896;0;0;0;0;0;0;0;0
FilledCacheProfiling-MIN;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;524288;150840492;54634816;2840515;0;0;0;0;0;0;51795324;367635076;25304;25896;25896;0;0;0;0;0;0;0;0
FilledCacheProfiling-AVG;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;524288;1.5084e+08;5.46348e+07;2.84052e+06;0;0;0;0;0;0;5.17953e+07;3.67635e+08;25304;25896;25896;0;0;0;0;0;0;0;0
FilledCacheProfiling-MEDIAN;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;524288;150840492;54634816;2840515;0;0;0;0;0;0;51795324;367635076;25304;25896;25896;0;0;0;0;0;0;0;0
FilledCacheProfiling-VAR;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingSingleHold-MAX;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;524288;0;33034752;25701888;0;0;0;0;0;0;7333887;51394561;7169;14338;7170;0;0;0;0;0;0;7169;0
FilledCacheProfilingSingleHold-MIN;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;524288;0;33034752;25701888;0;0;0;0;0;0;7333887;51394561;7169;14338;7170;0;0;0;0;0;0;7169;0
FilledCacheProfilingSingleHold-AVG;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;524288;0;3.30348e+07;2.57019e+07;0;0;0;0;0;0;7.33389e+06;5.13946e+07;7169;14338;7170;0;0;0;0;0;0;7169;0
FilledCacheProfilingSingleHold-MEDIAN;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;1024;1;0.633;1;0;524288;0;33034752;25701888;0;0;0;0;0;0;7333887;51394561;7169;14338;7170;0;0;0;0;0;0;7169;0
FilledCacheProfilingSingleHold-VAR;associative;1;1024;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
