CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;1024;bit-plru;0;0;0;0;0;1;0;0;1;2044;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;655360000;0;8437000;2811523;0;0;0;0;0;0;5625477;2811523;2753;8247;2748;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-MIN;associative;1;1024;bit-plru;0;0;0;0;0;1;0;0;1;2044;1;1.79769e+308;1.79769e+308;1.79769e+308;655360000;0;8437000;2811523;0;0;0;0;0;0;5625477;2811523;2753;8247;2748;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-AVG;associative;1;1024;bit-plru;0;0;0;0;0;1;0;0;1;2044;1;-nan;-nan;-nan;6.5536e+08;0;8.437e+06;2.81152e+06;0;0;0;0;0;0;5.62548e+06;2.81152e+06;2753;8247;2748;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-MEDIAN;associative;1;1024;bit-plru;0;0;0;0;0;1;0;0;1;2044;1;-nan;-nan;-nan;655360000;0;8437000;2811523;0;0;0;0;0;0;5625477;2811523;2753;8247;2748;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-VAR;associative;1;1024;bit-plru;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;1024;bit-plru;0;0;0;0;4;1;50;1000;1;1021;1;0;0;0;131072;52480000;261990400;209613823;0;0;0;0;0;0;52377600;52480000;0;51200;51200;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;1024;bit-plru;0;0;0;0;4;1;50;1000;1;1021;1;0;0;0;131072;52480000;261990400;209613823;0;0;0;0;0;0;52377600;52480000;0;51200;51200;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;1024;bit-plru;0;0;0;0;4;1;50;1000;1;1021;1;0;0;0;131072;5.248e+07;2.6199e+08;2.09614e+08;0;0;0;0;0;0;5.23776e+07;5.248e+07;0;51200;51200;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;1024;bit-plru;0;0;0;0;4;1;50;1000;1;1021;1;0;0;0;131072;52480000;261990400;209613823;0;0;0;0;0;0;52377600;52480000;0;51200;51200;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;1024;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
