CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;512;random;0;0;0;0;0;1;0;0;1;1583;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;327680000;0;11522500;5903734;0;0;0;0;0;0;5618766;5903734;4673;17327;6328;0;0;0;0;0;0;10999;1
EvictionSetSizeP90-MIN;associative;1;512;random;0;0;0;0;0;1;0;0;1;1583;1;1.79769e+308;1.79769e+308;1.79769e+308;327680000;0;11522500;5903734;0;0;0;0;0;0;5618766;5903734;4673;17327;6328;0;0;0;0;0;0;10999;1
EvictionSetSizeP90-AVG;associative;1;512;random;0;0;0;0;0;1;0;0;1;1583;1;-nan;-nan;-nan;3.2768e+08;0;1.15225e+07;5.90373e+06;0;0;0;0;0;0;5.61877e+06;5.90373e+06;4673;17327;6328;0;0;0;0;0;0;10999;1
EvictionSetSizeP90-MEDIAN;associative;1;512;random;0;0;0;0;0;1;0;0;1;1583;1;-nan;-nan;-nan;327680000;0;11522500;5903734;0;0;0;0;0;0;5618766;5903734;4673;17327;6328;0;0;0;0;0;0;10999;1
EvictionSetSizeP90-VAR;associative;1;512;random;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;512;random;0;0;0;0;4;1;50;1000;1;527;1;0.046;0.601;0.037;65536;5195;14303;11252;0;0;0;0;0;0;3563;3605;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;512;random;0;0;0;0;4;1;50;1000;1;527;1;0.046;0.601;0.037;65536;5195;14303;11252;0;0;0;0;0;0;3563;3605;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;512;random;0;0;0;0;4;1;50;1000;1;527;1;0.046;0.601;0.037;65536;5195;14303;11252;0;0;0;0;0;0;3563;3605;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;512;random;0;0;0;0;4;1;50;1000;1;527;1;0.046;0.601;0.037;65536;5195;14303;11252;0;0;0;0;0;0;3563;3605;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;512;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;512;random;0;0;0;0;4;1;50;1000;1;512;1;0.003;0.578;0.004;262144;2881895;2118699;1604128;0;0;0;0;0;0;515082;3613686;47;961;961;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;512;random;0;0;0;0;4;1;50;1000;1;512;1;0.003;0.578;0.004;262144;2881895;2118699;1604128;0;0;0;0;0;0;515082;3613686;47;961;961;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;512;random;0;0;0;0;4;1;50;1000;1;512;1;0.003;0.578;0.004;262144;2.8819e+06;2.1187e+06;1.60413e+06;0;0;0;0;0;0;515082;3.61369e+06;47;961;961;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;512;random;0;0;0;0;4;1;50;1000;1;512;1;0.003;0.578;0.004;262144;2881895;2118699;1604128;0;0;0;0;0;0;515082;3613686;47;961;961;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;512;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
