CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;512;lru;0;0;0;0;0;1;0;0;1;512;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;327680000;0;256000;1011;0;0;0;0;0;0;254989;1011;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MIN;associative;1;512;lru;0;0;0;0;0;1;0;0;1;512;1;1.79769e+308;1.79769e+308;1.79769e+308;327680000;0;256000;1011;0;0;0;0;0;0;254989;1011;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-AVG;associative;1;512;lru;0;0;0;0;0;1;0;0;1;512;1;-nan;-nan;-nan;3.2768e+08;0;256000;1011;0;0;0;0;0;0;254989;1011;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MEDIAN;associative;1;512;lru;0;0;0;0;0;1;0;0;1;512;1;-nan;-nan;-nan;327680000;0;256000;1011;0;0;0;0;0;0;254989;1011;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-VAR;associative;1;512;lru;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;512;1;1;1;1;65536;512;2560;2560;0;0;0;0;0;0;512;512;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;512;1;1;1;1;65536;512;2560;2560;0;0;0;0;0;0;512;512;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;512;1;1;1;1;65536;512;2560;2560;0;0;0;0;0;0;512;512;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;512;1;1;1;1;65536;512;2560;2560;0;0;0;0;0;0;512;512;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;512;1;1;1;1;262144;1536;2594;2594;0;0;0;0;0;0;512;3584;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;512;1;1;1;1;262144;1536;2594;2594;0;0;0;0;0;0;512;3584;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;512;1;1;1;1;262144;1536;2594;2594;0;0;0;0;0;0;512;3584;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;512;1;1;1;1;262144;1536;2594;2594;0;0;0;0;0;0;512;3584;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfiling-MAX;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;38;1;0;0;0;262144;19421693;19671256;6795855;0;0;0;0;0;0;12876155;91981445;12448;13152;12909;0;0;0;0;0;0;0;0
FilledCacheProfiling-MIN;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;38;1;0;0;0;262144;19421693;19671256;6795855;0;0;0;0;0;0;12876155;91981445;12448;13152;12909;0;0;0;0;0;0;0;0
FilledCacheProfiling-AVG;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;38;1;0;0;0;262144;1.94217e+07;1.96713e+07;6.79586e+06;0;0;0;0;0;0;1.28762e+07;9.19814e+07;12448;13152;12909;0;0;0;0;0;0;0;0
FilledCacheProfiling-MEDIAN;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;38;1;0;0;0;262144;19421693;19671256;6795855;0;0;0;0;0;0;12876155;91981445;12448;13152;12909;0;0;0;0;0;0;0;0
FilledCacheProfiling-VAR;associative;1;512;lru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
