CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;512;random;0;0;0;0;0;1;0;0;1;1685;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;327680000;0;13182000;7052962;0;0;0;0;0;0;6129038;7052962;4837;19163;7164;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-MIN;associative;1;512;random;0;0;0;0;0;1;0;0;1;1685;1;1.79769e+308;1.79769e+308;1.79769e+308;327680000;0;13182000;7052962;0;0;0;0;0;0;6129038;7052962;4837;19163;7164;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-AVG;associative;1;512;random;0;0;0;0;0;1;0;0;1;1685;1;-nan;-nan;-nan;3.2768e+08;0;1.3182e+07;7.05296e+06;0;0;0;0;0;0;6.12904e+06;7.05296e+06;4837;19163;7164;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-MEDIAN;associative;1;512;random;0;0;0;0;0;1;0;0;1;1685;1;-nan;-nan;-nan;327680000;0;13182000;7052962;0;0;0;0;0;0;6129038;7052962;4837;19163;7164;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-VAR;associative;1;512;random;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;512;random;0;0;0;0;4;1;50;1000;1;549;1;0.126;0.595;0.058;65536;5266;14370;11314;0;0;0;0;0;0;3567;3601;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;512;random;0;0;0;0;4;1;50;1000;1;549;1;0.126;0.595;0.058;65536;5266;14370;11314;0;0;0;0;0;0;3567;3601;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;512;random;0;0;0;0;4;1;50;1000;1;549;1;0.126;0.595;0.058;65536;5266;14370;11314;0;0;0;0;0;0;3567;3601;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;512;random;0;0;0;0;4;1;50;1000;1;549;1;0.126;0.595;0.058;65536;5266;14370;11314;0;0;0;0;0;0;3567;3601;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;512;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
