CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;1024;lru;0;0;0;0;0;1;0;0;1;1024;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;655360000;0;512000;1523;0;0;0;0;0;0;510477;1523;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MIN;associative;1;1024;lru;0;0;0;0;0;1;0;0;1;1024;1;1.79769e+308;1.79769e+308;1.79769e+308;655360000;0;512000;1523;0;0;0;0;0;0;510477;1523;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-AVG;associative;1;1024;lru;0;0;0;0;0;1;0;0;1;1024;1;-nan;-nan;-nan;6.5536e+08;0;512000;1523;0;0;0;0;0;0;510477;1523;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MEDIAN;associative;1;1024;lru;0;0;0;0;0;1;0;0;1;1024;1;-nan;-nan;-nan;655360000;0;512000;1523;0;0;0;0;0;0;510477;1523;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-VAR;associative;1;1024;lru;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;1024;lru;0;0;0;0;4;1;50;1000;1;1024;1;1;1;1;131072;1024;5120;5120;0;0;0;0;0;0;1024;1024;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;1024;lru;0;0;0;0;4;1;50;1000;1;1024;1;1;1;1;131072;1024;5120;5120;0;0;0;0;0;0;1024;1024;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;1024;lru;0;0;0;0;4;1;50;1000;1;1024;1;1;1;1;131072;1024;5120;5120;0;0;0;0;0;0;1024;1024;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;1024;lru;0;0;0;0;4;1;50;1000;1;1024;1;1;1;1;131072;1024;5120;5120;0;0;0;0;0;0;1024;1024;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;1024;lru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
