CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;1024;random;0;0;0;0;0;1;0;0;1;3268;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;655360000;0;24679000;12920732;0;0;0;0;0;0;11758268;12920732;4792;18208;6709;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-MIN;associative;1;1024;random;0;0;0;0;0;1;0;0;1;3268;1;1.79769e+308;1.79769e+308;1.79769e+308;655360000;0;24679000;12920732;0;0;0;0;0;0;11758268;12920732;4792;18208;6709;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-AVG;associative;1;1024;random;0;0;0;0;0;1;0;0;1;3268;1;-nan;-nan;-nan;6.5536e+08;0;2.4679e+07;1.29207e+07;0;0;0;0;0;0;1.17583e+07;1.29207e+07;4792;18208;6709;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-MEDIAN;associative;1;1024;random;0;0;0;0;0;1;0;0;1;3268;1;-nan;-nan;-nan;655360000;0;24679000;12920732;0;0;0;0;0;0;11758268;12920732;4792;18208;6709;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-VAR;associative;1;1024;random;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1093;1;0.119;0.604;0.056;131072;10394;28672;22558;0;0;0;0;0;0;7137;7199;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1093;1;0.119;0.604;0.056;131072;10394;28672;22558;0;0;0;0;0;0;7137;7199;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1093;1;0.119;0.604;0.056;131072;10394;28672;22558;0;0;0;0;0;0;7137;7199;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1093;1;0.119;0.604;0.056;131072;10394;28672;22558;0;0;0;0;0;0;7137;7199;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.002;0.586;0.009;524288;12115837;8422289;6370167;0;0;0;0;0;0;2053145;14388199;88;1919;1919;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.002;0.586;0.009;524288;12115837;8422289;6370167;0;0;0;0;0;0;2053145;14388199;88;1919;1919;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.002;0.586;0.009;524288;1.21158e+07;8.42229e+06;6.37017e+06;0;0;0;0;0;0;2.05314e+06;1.43882e+07;88;1919;1919;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.002;0.586;0.009;524288;12115837;8422289;6370167;0;0;0;0;0;0;2053145;14388199;88;1919;1919;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfiling-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.573;0;524288;109148592;15503364;1661275;0;0;0;0;0;0;13843114;98248022;12304;1379;1377;0;0;0;0;0;0;0;0
FilledCacheProfiling-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.573;0;524288;109148592;15503364;1661275;0;0;0;0;0;0;13843114;98248022;12304;1379;1377;0;0;0;0;0;0;0;0
FilledCacheProfiling-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.573;0;524288;1.09149e+08;1.55034e+07;1.66128e+06;0;0;0;0;0;0;1.38431e+07;9.8248e+07;12304;1379;1377;0;0;0;0;0;0;0;0
FilledCacheProfiling-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.573;0;524288;109148592;15503364;1661275;0;0;0;0;0;0;13843114;98248022;12304;1379;1377;0;0;0;0;0;0;0;0
FilledCacheProfiling-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingSingleHold-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.593;0.007;524288;0;43155306;27449187;0;0;0;0;0;0;15707142;110072826;23539;22523;7170;0;0;0;0;0;0;15354;0
FilledCacheProfilingSingleHold-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.593;0.007;524288;0;43155306;27449187;0;0;0;0;0;0;15707142;110072826;23539;22523;7170;0;0;0;0;0;0;15354;0
FilledCacheProfilingSingleHold-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.593;0.007;524288;0;4.31553e+07;2.74492e+07;0;0;0;0;0;0;1.57071e+07;1.10073e+08;23539;22523;7170;0;0;0;0;0;0;15354;0
FilledCacheProfilingSingleHold-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.001;0.593;0.007;524288;0;43155306;27449187;0;0;0;0;0;0;15707142;110072826;23539;22523;7170;0;0;0;0;0;0;15354;0
FilledCacheProfilingSingleHold-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingGroupElim-MAX;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.003;0.542;0.003;524288;0;1707884;328094;0;0;0;0;0;0;1380813;9686579;1252;1450;100;0;0;0;0;0;0;1351;0
FilledCacheProfilingGroupElim-MIN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.003;0.542;0.003;524288;0;1707884;328094;0;0;0;0;0;0;1380813;9686579;1252;1450;100;0;0;0;0;0;0;1351;0
FilledCacheProfilingGroupElim-AVG;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.003;0.542;0.003;524288;0;1.70788e+06;328094;0;0;0;0;0;0;1.38081e+06;9.68658e+06;1252;1450;100;0;0;0;0;0;0;1351;0
FilledCacheProfilingGroupElim-MEDIAN;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;1024;1;0.003;0.542;0.003;524288;0;1707884;328094;0;0;0;0;0;0;1380813;9686579;1252;1450;100;0;0;0;0;0;0;1351;0
FilledCacheProfilingGroupElim-VAR;associative;1;1024;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
