CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;2048;bit-plru;0;0;0;0;0;1;0;0;1;4088;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;1310720000;0;16874000;5617547;0;0;0;0;0;0;11256453;5617547;2757;8243;2744;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-MIN;associative;1;2048;bit-plru;0;0;0;0;0;1;0;0;1;4088;1;1.79769e+308;1.79769e+308;1.79769e+308;1310720000;0;16874000;5617547;0;0;0;0;0;0;11256453;5617547;2757;8243;2744;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-AVG;associative;1;2048;bit-plru;0;0;0;0;0;1;0;0;1;4088;1;-nan;-nan;-nan;1.31072e+09;0;1.6874e+07;5.61755e+06;0;0;0;0;0;0;1.12565e+07;5.61755e+06;2757;8243;2744;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-MEDIAN;associative;1;2048;bit-plru;0;0;0;0;0;1;0;0;1;4088;1;-nan;-nan;-nan;1310720000;0;16874000;5617547;0;0;0;0;0;0;11256453;5617547;2757;8243;2744;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-VAR;associative;1;2048;bit-plru;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;2045;1;0;0;0;262144;209817600;1048268800;838658047;0;0;0;0;0;0;209612800;209817600;0;102400;102400;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;2045;1;0;0;0;262144;209817600;1048268800;838658047;0;0;0;0;0;0;209612800;209817600;0;102400;102400;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;2045;1;0;0;0;262144;2.09818e+08;1.04827e+09;8.38658e+08;0;0;0;0;0;0;2.09613e+08;2.09818e+08;0;102400;102400;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;2045;1;0;0;0;262144;209817600;1048268800;838658047;0;0;0;0;0;0;209612800;209817600;0;102400;102400;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;1048576;902883447;838598271;628987518;0;0;0;0;0;0;209612800;1468108800;0;102400;102400;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;1048576;902883447;838598271;628987518;0;0;0;0;0;0;209612800;1468108800;0;102400;102400;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;1.04858e+06;9.02883e+08;8.38598e+08;6.28988e+08;0;0;0;0;0;0;2.09613e+08;1.46811e+09;0;102400;102400;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;1048576;902883447;838598271;628987518;0;0;0;0;0;0;209612800;1468108800;0;102400;102400;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfiling-MAX;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;52;1;0;0;0;1048576;216725616;314665258;106725861;0;0;0;0;0;0;207941451;1469780149;50648;51752;51745;0;0;0;0;0;0;0;0
FilledCacheProfiling-MIN;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;52;1;0;0;0;1048576;216725616;314665258;106725861;0;0;0;0;0;0;207941451;1469780149;50648;51752;51745;0;0;0;0;0;0;0;0
FilledCacheProfiling-AVG;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;52;1;0;0;0;1.04858e+06;2.16726e+08;3.14665e+08;1.06726e+08;0;0;0;0;0;0;2.07941e+08;1.46978e+09;50648;51752;51745;0;0;0;0;0;0;0;0
FilledCacheProfiling-MEDIAN;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;52;1;0;0;0;1048576;216725616;314665258;106725861;0;0;0;0;0;0;207941451;1469780149;50648;51752;51745;0;0;0;0;0;0;0;0
FilledCacheProfiling-VAR;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingSingleHold-MAX;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;2048;1;0;0.477;0.047;1048576;0;160717489;104875329;0;0;0;0;0;0;55844207;391127697;40225;41618;14338;0;0;0;0;0;0;27281;0
FilledCacheProfilingSingleHold-MIN;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;2048;1;0;0.477;0.047;1048576;0;160717489;104875329;0;0;0;0;0;0;55844207;391127697;40225;41618;14338;0;0;0;0;0;0;27281;0
FilledCacheProfilingSingleHold-AVG;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;2048;1;0;0.477;0.047;1.04858e+06;0;1.60717e+08;1.04875e+08;0;0;0;0;0;0;5.58442e+07;3.91128e+08;40225;41618;14338;0;0;0;0;0;0;27281;0
FilledCacheProfilingSingleHold-MEDIAN;associative;1;2048;bit-plru;0;0;0;0;4;1;50;1000;1;2048;1;0;0.477;0.047;1048576;0;160717489;104875329;0;0;0;0;0;0;55844207;391127697;40225;41618;14338;0;0;0;0;0;0;27281;0
